TEST SETUP,
GENESYS 10S Vis v4.003 2D9Q151001,
,
Scanning,2:48am 3Mar18
Test Name ,UV[Saved]
Measurement Mode,Absorbance
Start Wavelength,325nm
Stop Wavelength,1100nm
Sample Positioner,1-Cell Platform
Scan Speed,Slow
ID# (0=OFF),1
Auto Save Data,On
Data File Name,213S
,
,
ID#,1
Wavelength,Abs
325,0.158
326,0.158
327,0.159
328,0.159
329,0.16
330,0.161
331,0.163
332,0.164
333,0.165
334,0.167
335,0.169
336,0.172
337,0.175
338,0.177
339,0.179
340,0.181
341,0.182
342,0.181
343,0.181
344,0.18
345,0.178
346,0.177
347,0.175
348,0.174
349,0.173
350,0.171
351,0.17
352,0.169
353,0.169
354,0.168
355,0.167
356,0.166
357,0.164
358,0.16
359,0.154
360,0.146
361,0.135
362,0.125
363,0.114
364,0.104
365,0.096
366,0.09
367,0.084
368,0.08
369,0.076
370,0.073
371,0.071
372,0.07
373,0.068
374,0.067
375,0.066
376,0.065
377,0.064
378,0.063
379,0.063
380,0.062
381,0.062
382,0.061
383,0.06
384,0.06
385,0.059
386,0.059
387,0.058
388,0.058
389,0.057
390,0.057
391,0.056
392,0.055
393,0.054
394,0.053
395,0.052
396,0.051
397,0.05
398,0.049
399,0.048
400,0.046
401,0.045
402,0.044
403,0.043
404,0.042
405,0.041
406,0.04
407,0.039
408,0.038
409,0.038
410,0.037
411,0.036
412,0.036
413,0.036
414,0.035
415,0.035
416,0.035
417,0.035
418,0.035
419,0.035
420,0.035
421,0.035
422,0.035
423,0.035
424,0.036
425,0.036
426,0.037
427,0.037
428,0.038
429,0.039
430,0.039
431,0.04
432,0.041
433,0.042
434,0.044
435,0.045
436,0.046
437,0.047
438,0.049
439,0.05
440,0.052
441,0.054
442,0.055
443,0.057
444,0.059
445,0.061
446,0.063
447,0.065
448,0.067
449,0.07
450,0.072
451,0.074
452,0.077
453,0.08
454,0.082
455,0.085
456,0.088
457,0.091
458,0.095
459,0.098
460,0.101
461,0.105
462,0.108
463,0.112
464,0.116
465,0.12
466,0.124
467,0.128
468,0.133
469,0.137
470,0.141
471,0.145
472,0.15
473,0.154
474,0.158
475,0.163
476,0.167
477,0.171
478,0.175
479,0.179
480,0.183
481,0.187
482,0.191
483,0.195
484,0.199
485,0.204
486,0.208
487,0.213
488,0.218
489,0.223
490,0.229
491,0.235
492,0.241
493,0.247
494,0.253
495,0.259
496,0.266
497,0.272
498,0.279
499,0.286
500,0.293
501,0.3
502,0.307
503,0.314
504,0.32
505,0.326
506,0.332
507,0.338
508,0.343
509,0.348
510,0.353
511,0.356
512,0.359
513,0.36
514,0.361
515,0.361
516,0.361
517,0.359
518,0.358
519,0.357
520,0.355
521,0.353
522,0.352
523,0.351
524,0.35
525,0.351
526,0.352
527,0.353
528,0.355
529,0.357
530,0.36
531,0.363
532,0.367
533,0.37
534,0.374
535,0.378
536,0.383
537,0.387
538,0.391
539,0.395
540,0.399
541,0.403
542,0.407
543,0.411
544,0.414
545,0.417
546,0.42
547,0.422
548,0.423
549,0.423
550,0.423
551,0.421
552,0.417
553,0.411
554,0.404
555,0.394
556,0.382
557,0.368
558,0.351
559,0.333
560,0.313
561,0.292
562,0.27
563,0.248
564,0.226
565,0.207
566,0.188
567,0.172
568,0.157
569,0.144
570,0.133
571,0.123
572,0.115
573,0.108
574,0.101
575,0.096
576,0.091
577,0.087
578,0.083
579,0.08
580,0.077
581,0.074
582,0.071
583,0.069
584,0.067
585,0.065
586,0.063
587,0.061
588,0.058
589,0.056
590,0.054
591,0.052
592,0.05
593,0.049
594,0.047
595,0.045
596,0.043
597,0.041
598,0.04
599,0.038
600,0.036
601,0.034
602,0.033
603,0.031
604,0.03
605,0.028
606,0.027
607,0.026
608,0.024
609,0.023
610,0.022
611,0.021
612,0.02
613,0.019
614,0.018
615,0.017
616,0.016
617,0.016
618,0.015
619,0.014
620,0.014
621,0.013
622,0.012
623,0.012
624,0.011
625,0.011
626,0.011
627,0.01
628,0.01
629,0.01
630,0.009
631,0.009
632,0.009
633,0.009
634,0.008
635,0.008
636,0.008
637,0.008
638,0.008
639,0.007
640,0.007
641,0.007
642,0.007
643,0.007
644,0.007
645,0.006
646,0.006
647,0.006
648,0.006
649,0.006
650,0.006
651,0.006
652,0.006
653,0.006
654,0.006
655,0.006
656,0.006
657,0.005
658,0.005
659,0.005
660,0.005
661,0.005
662,0.005
663,0.005
664,0.005
665,0.005
666,0.006
667,0.005
668,0.005
669,0.006
670,0.005
671,0.005
672,0.005
673,0.005
674,0.005
675,0.004
676,0.004
677,0.004
678,0.004
679,0.004
680,0.004
681,0.003
682,0.003
683,0.003
684,0.003
685,0.003
686,0.003
687,0.003
688,0.003
689,0.003
690,0.003
691,0.003
692,0.002
693,0.002
694,0.002
695,0.002
696,0.002
697,0.002
698,0.002
699,0.002
700,0.002
701,0.002
702,0.002
703,0.002
704,0.001
705,0.001
706,0.001
707,0.001
708,0.001
709,0.001
710,0.001
711,0.001
712,0.001
